uniprot_id,gene_name,protein_name,length,alphafold_id
F1RE08,ptgis,Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase) (PGIS),480,F1RE08
F1RE57,zdhhc3a,Palmitoyltransferase ZDHHC3-A (EC 2.3.1.225) (Acyltransferase ZDHHC3A) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 3),316,F1RE57
F1RET2,smyd5,Protein-lysine N-trimethyltransferase SMYD5 (EC 2.1.1.-) (SET and MYND domain-containing protein 5) ([histone H3]-lysine20 N-trimethyltransferase SMYD5) (EC 2.1.1.372) ([histone H4]-lysine36 N-trimethyltransferase SMYD5) (EC 2.1.1.359),415,F1RET2
F1REV3,krit1,Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein homolog) (Santa),740,F1REV3
F5HSE3,nipbla,Nipped-B-like protein A,2381,F5HSE3
F6NXI9,trnt1,"CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72)",431,F6NXI9
F8W2M1,hace1,E3 ubiquitin-protein ligase HACE1 (EC 2.3.2.26) (HECT domain and ankyrin repeat-containing E3 ubiquitin-protein ligase 1) (HECT-type E3 ubiquitin transferase HACE1),904,F8W2M1
F8W2M8,tpp1,Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I),557,F8W2M8
F8W3R9,alk,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase 2) (alk-2) (Anaplastic lymphoma kinase homolog),1705,F8W3R9
F8W3X3,pcdh19,Protocadherin-19,1088,F8W3X3
F8W463,p2rx4a,P2X purinoceptor 4a,389,F8W463
F8W4H9,mrap2a,Melanocortin-2 receptor accessory protein 2A (zMRAP2a),217,F8W4H9
G8XYX6,slc16a2,Monocarboxylate transporter 8 (MCT 8) (Solute carrier family 16 member 2),526,G8XYX6
H0WFA5,buc,Bucky ball (buc) (Prion-like protein Bucky ball),639,H0WFA5
H2EQR6,dsg2.1,Desmoglein-2.1,1142,H2EQR6
L7YAI7,b4gat1,"Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",431,L7YAI7
O12990,jak1,Tyrosine-protein kinase JAK1 (EC 2.7.10.2) (Janus kinase 1) (JAK-1),1153,O12990
O13033,rag1,V(D)J recombination-activating protein 1 (RAG-1) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)],1057,O13033
O13034,rag2,V(D)J recombination-activating protein 2 (RAG-2),530,O13034
O13146,epha3,Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 1) (Tyrosine-protein kinase receptor ZEK1),981,O13146
O13147,ephb3,Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like kinase 3) (Tyrosine-protein kinase receptor ZEK3),500,O13147
O13148,epha4a,Ephrin type-A receptor 4a (EC 2.7.10.1) (EPH-like kinase 2) (Tyrosine-protein kinase receptor ZEK2),292,O13148
O13166,tle3a,Transducin-like enhancer protein 3-A (Groucho-related protein grg2) (Protein groucho-2),761,O13166
O42115,arxa,Aristaless-related homeobox protein A (ARX-A),453,O42115
O42145,cyp19a1a,Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (Cytochrome P450 19A1a) (Estrogen synthase),509,O42145
O42182,fbln1,Fibulin-1 (FIBL-1),681,O42182
O42202,neurod1,Neurogenic differentiation factor 1 (NeuroD) (NeuroD1),350,O42202
O42222,mstnb,Growth/differentiation factor 8 (GDF-8) (Myostatin) (Myostatin-1) (zfMSTN-1) (Myostatin-B),374,O42222
O42248,gnb2l1,Small ribosomal subunit protein RACK1 (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor of activated protein kinase C) (RACK),317,O42248
O42250,vsx1,Visual system homeobox 1 (Transcription factor VSX1),344,O42250
O42354,mdm2,E3 ubiquitin-protein ligase Mdm2 (EC 2.3.2.27) (Double minute 2 protein) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2),445,O42354
O42358,rx3,Retinal homeobox protein Rx3,292,O42358
O42363,apoa1a,Apolipoprotein A-Ia (Apo-AIa) (ApoA-Ia) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I)],262,O42363
O42364,apoeb,Apolipoprotein Eb (Apo-Eb),281,O42364
O42477,vsx2,Visual system homeobox 2 (Ceh-10 homeodomain-containing homolog) (Homeobox protein ALX) (Homeobox protein CHX10) (Transcription factor VSX2),393,O42477
O42606,neurog1,Neurogenin-1 (NGN-1) (Neurogenic differentiation factor 3) (NeuroD3) (Neurogenin-related protein 1),208,O42606
O57341,fgf8a,Fibroblast growth factor 8 (FGF-8),210,O57341
O57460,tll1,Dorsal-ventral patterning tolloid-like protein 1 (EC 3.4.24.-) (Mini fin protein),1022,O57460
O57472,chd,Chordin (Protein chordino),940,O57472
O57474,gja1,Gap junction alpha-1 protein (Connexin-43) (Cx43) (Short fin protein),381,O57474
O57521,hsp90ab1,Heat shock protein HSP 90-beta,725,O57521
O73682,vegfaa,Vascular endothelial growth factor A-A (VEGF-A-A),188,O73682
O73791,tek,"Angiopoietin-1 receptor (EC 2.7.10.1) (TEK tyrosine kinase, endothelial) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor Tie-2)",1116,O73791
O73792,tie1,Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1),184,O73792
O73864,wnt11,Protein Wnt-11,354,O73864
O73872,sod1,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (EC 1.8.-.-) (Hydrogen sulfide oxidase),154,O73872
O73874,efnb2a,Ephrin-B2a,332,O73874
O73875,ephb4a,Ephrin type-B receptor 4a (EC 2.7.10.1) (Eph receptor B4a) (Eph-like receptor tyrosine kinase rtk5),987,O73875
O73878,ephb4b,Ephrin type-B receptor 4b (EC 2.7.10.1) (Eph receptor B4b) (Eph-like receptor tyrosine kinase rtk8),976,O73878
O93409,mylpfa,"Myosin regulatory light chain 2, skeletal muscle isoform A (Fast skeletal myosin light chain 2) (Myosin light chain 11) (Myosin regulatory light chain 11)",169,O93409
O93430,glra1,Glycine receptor subunit alphaZ1,444,O93430
O93507,tal1,T-cell acute lymphocytic leukemia protein 1 homolog (TAL-1) (Stem cell protein) (zSCL),324,O93507
P09015,eng2a,Homeobox protein engrailed-2a (Homeobox protein en-2a) (Zf-En-2),265,P09015
P0CF52,jhdm1db,Lysine-specific demethylase 7B (DrKDM7b) (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 1D-B),577,P0CF52
P0CH95,phf8,Histone lysine demethylase PHF8 (EC 1.14.11.-) (EC 1.14.11.65) (PHD finger protein 8) (zPHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8),1032,P0CH95
P0CI65,nphp3,Nephrocystin-3,1303,P0CI65
P0DM64,mrap2b,Melanocortin-2 receptor accessory protein 2B (zMRAP2b),199,P0DM64
P0DMC2,apela,Apelin receptor early endogenous ligand (Protein Elabela) (ELA) (Protein Toddler),58,P0DMC2
P0DOC7,npas4l,Neuronal PAS domain-containing protein 4-like (Protein cloche),647,P0DOC7
P0DPQ9,bncr,Protein Bouncer,125,P0DPQ9
P24257,wnt1,Protein Wnt-1,370,P24257
P26630,pax6a,Paired box protein Pax-6 (Pax[Zf-a]),437,P26630
P26632,egr1,Early growth response protein 1 (EGR-1) (Zinc finger protein Krox-24),511,P26632
P35359,rho,Rhodopsin,354,P35359
P35621,dvr1,Protein DVR-1,355,P35621
P46530,notch1a,Neurogenic locus notch homolog protein 1 (Notch 1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],2437,P46530
P47793,wnt4a,Protein Wnt-4a,352,P47793
P48802,fgf3,Fibroblast growth factor 3 (FGF-3) (Heparin-binding growth factor 3) (HBGF-3),256,P48802
P50392,pla2g4a,Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)],741,P50392
P50574,dlx2a,Homeobox protein Dlx2a (DLX-2) (Distal-less homeobox gene 2a),270,P50574
P50576,dlx5a,Homeobox protein Dlx5a (DLX-4) (Distal-less homeobox protein 5a),283,P50576
P51028,wnt8a,Protein Wnt-8a,359,P51028
P51029,wnt8b,Protein Wnt-8b,358,P51029
P52160,myca,Transcriptional regulator Myc-A (c-Myc-A) (zc-Myc),419,P52160
P52161,max,Protein max (Myc-associated factor X),165,P52161
P53405,isl1,Insulin gene enhancer protein isl-1 (Islet-1),349,P53405
P53406,isl2a,Insulin gene enhancer protein isl-2a (Islet-2A) (Insulin gene enhancer protein isl-2) (Islet-2),359,P53406
P56224,pou3f3a,"POU domain, class 3, transcription factor 3-A (Brain-specific homeobox/POU domain protein 1.1) (Brain-1.1) (zfBrn-1.1) (Class III POU domain protein taichi) (POU domain protein 12) (ZP-12)",438,P56224
P57094,axin1,Axin-1 (Axis inhibition protein 1),835,P57094
P57095,axin2,Axin-2 (Axis inhibition protein 2),812,P57095
P57102,hand2,"Heart- and neural crest derivatives-expressed protein 2 (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND)",208,P57102
P57717,esr1,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),569,P57717
P59015,vps18,Vacuolar protein sorting-associated protein 18 homolog,974,P59015
P59723,hif1an,Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Hypoxia-inducible factor asparagine hydroxylase),344,P59723
P61516,hamp1,Hepcidin-1,91,P61516
P79728,efna5b,Ephrin-A5b (AL-1) (EPH-related receptor tyrosine kinase ligand 7) (LERK-7) (ZfEPHL4),228,P79728
P79732,rrm1,Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit) (Ribonucleotide reductase protein R1 class I),794,P79732
P79734,tp53,Cellular tumor antigen p53 (Tumor suppressor p53),373,P79734
P79735,ran,GTP-binding nuclear protein Ran (EC 3.6.5.-) (GTPase Ran) (Ras-related nuclear protein),215,P79735
P79739,cyp26a1,Cytochrome P450 26A1 (EC 1.14.13.-) (Cytochrome P450RAI) (Retinoic acid 4-hydroxylase) (Retinoic acid-metabolizing cytochrome),492,P79739
P79745,pou3f3b,"POU domain, class 3, transcription factor 3-B (Brain-specific homeobox/POU domain protein 1.0) (Brain-1.0) (zfBrn-1.0) (POU domain protein 1) (ZFPOU1) (POU domain protein 23) (ZP-23)",443,P79745
P83238,bglap,Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein),45,
P83571,ruvbl2,RuvB-like 2 (EC 3.6.4.12) (Reptin) (zReptin),463,P83571
P85001,cep290,Centrosomal protein of 290 kDa (Cep290),2439,P85001
P85857,gdf6a,Growth/differentiation factor 6-A (GDF-6-A) (Growth differentiation factor 6A) (Protein radar),404,P85857
Q01702,dlx3b,Homeobox protein Dlx3b (DLX-3) (Distal-less homeobox protein 3b),269,Q01702
Q05AK6,abhd2b,Monoacylglycerol lipase ABHD2 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 2-B) (Acetylesterase) (EC 3.1.1.6) (Triacylglycerol lipase) (EC 3.1.1.79),422,Q05AK6
Q06725,nr2f1a,Nuclear receptor subfamily 2 group F member 1-A (COUP transcription factor 1-A) (COUP-TFalpha-A) (zCOUP-TFI) (Seven-up related 44) (Svp[44]) (zSvp[44]) (Steroid receptor homolog SVP 44),411,Q06725
Q06ZW3,setdb2,Histone-lysine N-methyltransferase SETDB2 (EC 2.1.1.366) (SET domain bifurcated 2),551,Q06ZW3
Q071E0,kmt5aa,N-lysine methyltransferase KMT5A-A (EC 2.1.1.-) (Histone-lysine N-methyltransferase KMT5A-A) (EC 2.1.1.361) (Lysine-specific methylase 5A-A) (SET domain-containing protein 8-A),344,Q071E0
Q07342,foxa2,Forkhead box protein A2 (Axial protein),409,Q07342
Q07998,tbxta,T-box transcription factor T-A (Brachyury protein homolog-A) (No tail protein A-A) (No tail protein-A) (Protein T homolog-A) (T-box protein ZfT-A) (Zf-T-A),423,Q07998
Q08BA4,slc38a9,Neutral amino acid transporter 9 (Solute carrier family 38 member 9),549,Q08BA4
Q08BA6,alkbh5,RNA demethylase ALKBH5 (EC 1.14.11.53) (Alkylated DNA repair protein alkB homolog 5) (Alpha-ketoglutarate-dependent dioxygenase alkB homolog 5),352,Q08BA6
Q08BB2,pm20d1.2,N-fatty-acyl-amino acid synthase/hydrolase PM20D1.2 (EC 3.5.1.114) (EC 3.5.1.14) (Peptidase M20 domain-containing protein 1.2),522,Q08BB2
Q08BI9,mcu,"Calcium uniporter protein, mitochondrial",376,Q08BI9
Q08BR4,setdb1b,Histone-lysine N-methyltransferase SETDB1-B (EC 2.1.1.366) (SET domain bifurcated 1B),1216,Q08BR4
Q08BS4,ezh2,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (Enhancer of zeste homolog 2),760,Q08BS4
Q08C84,smyd4,Protein-lysine N-methyltransferase SMYD4 (EC 2.1.1.-) (SET and MYND domain-containing protein 4),753,Q08C84
Q08C93,abhd12,Lysophosphatidylserine lipase ABHD12 (EC 3.1.1.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-),382,Q08C93
Q08CE7,cox7a1,"Cytochrome c oxidase subunit 7A1, mitochondrial",81,Q08CE7
Q08CK7,igf2bp1,Insulin-like growth factor 2 mRNA-binding protein 1 (IGF2 mRNA-binding protein 1) (IMP-1) (IGF-II mRNA-binding protein 1) (VICKZ family member 1),598,Q08CK7
Q0E671,cmasa,N-acylneuraminate cytidylyltransferase A (EC 2.7.7.43) (CMP-sialic acid synthetase 1),430,Q0E671
Q0P483,slc25a42,Mitochondrial coenzyme A transporter SLC25A42 (Solute carrier family 25 member 42),321,Q0P483
Q0V967,fbxo5,F-box only protein 5 (Early mitotic inhibitor 1) (Harpy protein),384,Q0V967
Q155U0,vps51,Vacuolar protein sorting-associated protein 51 homolog (Protein fat-free),827,Q155U0
Q1ECV4,ttll3,Tubulin monoglycylase TTLL3 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 3),771,Q1ECV4
Q1ECW2,npas4a,Neuronal PAS domain-containing protein 4A (Neuronal PAS4A),933,Q1ECW2
Q1ECX4,tlk2,Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (PKU-alpha) (Tousled-like kinase 2),697,Q1ECX4
Q1ECZ2,keap1a,Kelch-like ECH-associated protein 1A,601,Q1ECZ2
Q1JPS6,opn4l,Melanopsin-like (Melanopsin) (Opsin-4-like),500,Q1JPS6
Q1JPY5,cyp51,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (Cytochrome P450 family member 51) (CYP51) (Sterol 14-alpha demethylase),499,Q1JPY5
Q1JPZ3,src,Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src),534,Q1JPZ3
Q1L673,vdrb,"Vitamin D3 receptor B (VDR-B) (1,25-dihydroxyvitamin D3 receptor B) (Nuclear receptor subfamily 1 group I member 1-B)",422,Q1L673
Q1L8J7,yap1,Transcriptional coactivator YAP1 (Yes-associated protein 1) (zYAP) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog),442,Q1L8J7
Q1L8L9,ak2,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)",241,Q1L8L9
Q1L8R9,snapin,SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (SNAP-associated protein),129,Q1L8R9
Q1L8U8,setdb1a,Histone-lysine N-methyltransferase SETDB1-A (EC 2.1.1.366) (SET domain bifurcated 1A),1436,Q1L8U8
Q1L8X9,slc17a8,Vesicular glutamate transporter 3 (VGluT3) (Solute carrier family 17 member 8),590,Q1L8X9
Q1LU99,ripor2,Rho family-interacting cell polarization regulator 2,1083,Q1LU99
Q1LUC3,kat2b,Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57),796,Q1LUC3
Q1LV15,daw1,Dynein assembly factor with WD repeat domains 1 (Outer row dynein assembly protein 16 homolog) (WD repeat-containing protein 69),415,Q1LV15
Q1LVF0,lamc1,Laminin subunit gamma-1,1593,Q1LVF0
Q1LVI2,yjefn3,YjeF N-terminal domain-containing 3 (ApoA-I-binding protein 2),246,Q1LVI2
Q1LVQ7,alx1,ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1),320,Q1LVQ7
Q1LVZ2,marchf2,E3 ubiquitin-protein ligase MARCHF2 (EC 2.3.2.27) (Membrane-associated RING finger protein 2) (Membrane-associated RING-CH protein II) (MARCH-II) (RING finger protein 172) (RING-type E3 ubiquitin transferase MARCHF2),249,Q1LVZ2
Q1LW01,he1.2,Hatching enzyme 1.2 (EC 3.4.24.67) (Choriolysin H homolog 1) (High choriolytic enzyme 1 homolog) (zHCE-1),263,Q1LW01
Q1LWG4,lpcat1,Lysophosphatidylcholine acyltransferase 1 (LPC acyltransferase 1) (LPCAT-1) (LysoPC acyltransferase 1) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (EC 2.3.1.25) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 2),517,Q1LWG4
Q1LWH4,fan1,Fanconi-associated nuclease 1 (EC 3.1.21.-) (EC 3.1.4.1) (FANCD2/FANCI-associated nuclease 1) (Myotubularin-related protein 15),988,Q1LWH4
Q1LX78,cftr,Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel),1485,Q1LX78
Q1LYM3,spire1,Protein spire homolog 1,761,Q1LYM3
Q1MT80,gbp4,Guanylate-binding protein 4 (EC 3.6.5.-) (GTP-binding protein 4) (GBP-4) (Guanine nucleotide-binding protein 4),618,Q1MT80
Q20JQ7,scn4ab,Sodium channel protein type 4 subunit alpha B (Voltage-gated sodium channel subunit alpha Nav1.4b),1784,Q20JQ7
Q287T7,slc25a37,Mitoferrin-1 (Mitochondrial iron transporter 1) (Protein frascati) (Solute carrier family 25 member 37),332,Q287T7
Q2HXK8,fgf16,Fibroblast growth factor 16 (FGF16),203,Q2HXK8
Q2I6J0,inppl1b,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2B (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1B) (INPPL-1B) (SH2 domain-containing inositol 5'-phosphatase 2B) (SH2 domain-containing inositol phosphatase 2B) (SHIP-2B)",1226,Q2I6J0
Q2I6J1,inppl1a,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2A (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1A) (INPPL1-A) (SH2 domain-containing inositol 5'-phosphatase 2A) (SH2 domain-containing inositol phosphatase 2A) (SHIP-2A)",1266,Q2I6J1
Q2L6L1,cnpy1,Protein canopy-1 (Protein D121),187,Q2L6L1
Q2QCI8,med12,Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (Protein kohtalo) (Protein motionless) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230),2173,Q2QCI8
Q2TJA6,nkd1,Protein naked cuticle homolog 1 (Naked-1),440,Q2TJA6
Q2WG80,ripply1,Protein ripply1,140,Q2WG80
Q2XNF5,epo,Erythropoietin (Erythropoietin-L2),183,Q2XNF5
Q32LQ6,mfsd1,Lysosomal dipeptide transporter MFSD1 (Major facilitator superfamily domain-containing protein 1),461,Q32LQ6
Q32LT9,pm20d1.1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1.1 (EC 3.5.1.114) (EC 3.5.1.14) (Peptidase M20 domain-containing protein 1.1),515,Q32LT9
Q32PV5,tcf21,Transcription factor 21 (TCF-21) (Capsulin) (Epicardin) (MyoRa2),176,Q32PV5
Q3LGD4,rab11fip4a,Rab11 family-interacting protein 4A (FIP4-Rab11) (Rab11-FIP4-A) (zRab11-FIP4-A),621,Q3LGD4
Q3Y4E2,selenon,Selenoprotein N (SePN) (SelN),557,
Q3YL68,b4galt5,"Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)",381,Q3YL68
Q3ZMH1,slc5a8,Sodium-coupled monocarboxylate transporter 1 (Electrogenic sodium monocarboxylate cotransporter) (zSMCTe) (Sodium solute symporter family 5 member 8 protein) (Solute carrier family 5 member 8),610,Q3ZMH1
Q49GP3,pi4kb,Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67),835,Q49GP3
Q49HM9,grk7a,Rhodopsin kinase grk7a (EC 2.7.11.14) (G protein-coupled receptor kinase 7-1) (G protein-coupled receptor kinase 7A),549,Q49HM9
Q49SH1,slc24a5,Sodium/potassium/calcium exchanger 5 (Na(+)/K(+)/Ca(2+)-exchange protein 5) (Protein golden) (Solute carrier family 24 member 5),513,Q49SH1
Q4G3H4,chuk,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA),758,Q4G3H4
Q4H4B6,scrib,Protein scribble homolog (Scribble1),1724,Q4H4B6
Q4JL91,ippk,"Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)",483,Q4JL91
Q4KMD7,tut1,Speckle targeted PIP5K1A-regulated poly(A) polymerase (Star-PAP) (EC 2.7.7.19) (RNA-binding motif protein 21) (RNA-binding protein 21) (U6 snRNA-specific terminal uridylyltransferase 1) (U6-TUTase) (EC 2.7.7.52),797,Q4KMD7
Q4QRF4,; ; ,Histone H3.2,136,Q4QRF4
Q4TTN8,apln,Apelin (APJ endogenous ligand),77,Q4TTN8
Q4TVV3,ddx46,Probable ATP-dependent RNA helicase DDX46 (EC 3.6.4.13) (DEAD box protein 46),1018,Q4TVV3
Q4U2V3,agtpbp1,Cytosolic carboxypeptidase 1 (EC 3.4.17.-) (EC 3.4.17.24) (ATP/GTP-binding protein 1) (Protein deglutamylase CCP1),1153,Q4U2V3
Q4V8R7,nr6a1b,Nuclear receptor subfamily 6 group A member 1-B (Germ cell nuclear factor B) (GCNF-B),455,Q4V8R7
Q4V920,pacsin1b,Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1),445,Q4V920
Q4V9F0,dgat2,Diacylglycerol O-acyltransferase 2 (EC 2.3.1.20) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase 2),361,Q4V9F0
Q4VSN1,dstyk,Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (Receptor-interacting serine/threonine-protein kinase 5),885,Q4VSN1
Q501Z5,gtpbp3,"5-taurinomethyluridine-[tRNA] synthase subunit GTPB3, mitochondrial (EC 3.6.1.-) (GTP-binding protein 3) (tRNA modification GTPase GTPBP3, mitochondrial)",500,Q501Z5
Q502I3,cep55,Centrosomal protein of 55 kDa (Centrosomal protein 55-like),435,Q502I3
Q502J0,lpcat2,Lysophosphatidylcholine acyltransferase 2 (LPC acyltransferase 2) (LPCAT-2) (LysoPC acyltransferase 2) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase 11) (1-AGP acyltransferase 11) (1-AGPAT 11) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (EC 2.3.1.25) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 1),529,Q502J0
Q502K2,samhd1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-),622,Q502K2
Q504J1,caspb,Caspase b (EC 3.4.22.58) (Caspase 19a) [Cleaved into: Caspase b subunit p20; Caspase b subunit p10],404,Q504J1
Q52KL1,fitm2,Acyl-coenzyme A diphosphatase FITM2 (EC 3.6.1.-) (Fat storage-inducing transmembrane protein 2) (Fat-inducing protein 2),252,Q52KL1
Q561X9,bdh2,Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.-) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (EC 1.1.1.30) (4-oxo-L-proline reductase) (EC 1.1.1.104) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1),245,Q561X9
Q568P9,henmt1,Small RNA 2'-O-methyltransferase (EC 2.1.1.386) (HEN1 methyltransferase homolog 1),402,Q568P9
Q568Q0,nudt18,"8-oxo-dGDP phosphatase NUDT18 (EC 3.6.1.58) (EC 3.6.1.68) (EC 3.6.1.76) (2-hydroxy-dADP phosphatase) (7,8-dihydro-8-oxoguanine phosphatase) (Nucleoside diphosphate-linked moiety X motif 18) (Nudix motif 18)",325,Q568Q0
Q56A40,ccdc40,Coiled-coil domain-containing protein 40 (Protein locke),941,Q56A40
Q575S8,cygb2,Cytoglobin-2 (Nitric oxygen dioxygenase CYGB) (EC 1.14.12.-) (Nitrite reductase CYGB) (EC 1.7.-.-) (Pseudoperoxidase CYGB) (EC 1.11.1.-) (Superoxide dismutase CYGB) (EC 1.15.1.1),179,Q575S8
Q58G59,kif7,Kinesin-like protein kif7 (Kinesin-like protein costal2),1363,Q58G59
Q59I63,adgrg1,"Adhesion G protein-coupled receptor G1 (G protein-coupled receptor 56) [Cleaved into: Adhesion G protein-coupled receptor G1, N-terminal fragment (ADGRG1 N-terminal fragment) (ADGRG1 NT); Adhesion G protein-coupled receptor G1, C-terminal fragment (ADGRG1 C-terminal fragment) (ADGRG1 CT)]",648,Q59I63
